Timestamp,Date,Ethereum,Fantom,BSC,Avalanche,Polygon,Arbitrum,Cronos,Harmony,Klaytn,Heco,Ronin,Celo,Aurora,Astar,Moonriver,Optimism,Metis,Mixin,IoTeX,Moonbeam,Gnosis,Telos,Fusion,OKExChain,RSK,Godwoken,Theta,Boba,Oasis,Songbird,Wanchain,KCC,smartBCH,Fuse,Velas,Kardia,Shiden,CSC,Elastos,Callisto,Nahmii,ThunderCore,Meter,EnergyWeb,TomoChain,XDC,Polis,Ubiq,ZYX,Hoo,GoChain,HPB,Liquidchain,Palm,EthereumClassic
1599782400,11/09/2020,8068832695.744872,,,,,,,,,,,325475536.56422526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599868800,12/09/2020,8154493398.438248,,,,,,,,,,,307419760.6558056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599955200,13/09/2020,8321028858.594216,,,,,,,,,,,309199597.48146605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600041600,14/09/2020,8196339425.226349,,,,,,,,,,,302706615.80672157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600128000,15/09/2020,8313432181.303636,,,,,,,,,,,292984423.8545829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600214400,16/09/2020,7779804827.769264,,,,,,,,,,,284784042.72784096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600300800,17/09/2020,7885684530.163386,,,,,,,,,,,253444674.55106044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600387200,18/09/2020,8355492335.8883295,,,,,,,,,,,253692979.55343577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600473600,19/09/2020,8764406103.864904,,,,,,,,,,,220237060.5005725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600560000,20/09/2020,9272251894.54982,,,,,,,,,,,215149177.85171622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600646400,21/09/2020,9672998980.599873,,,,,,,,,,,306247307.16412735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600732800,22/09/2020,9153851721.65824,,,,,,,,,,,325837140.92362285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600819200,23/09/2020,9150225474.492144,,,,,,,,,,,282411332.16697985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600905600,24/09/2020,9275086344.226881,,,,,,,,,,,266915566.24784657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1600992000,25/09/2020,9416347427.465813,,,,,,,,,,,257203577.22159126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601078400,26/09/2020,9789673375.245094,,,,,,,,,,,261375395.0177823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601164800,27/09/2020,10748142127.526825,,,,,,,,,,,263163891.26353326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601251200,28/09/2020,10679045128.376244,,,,,,,,,,,250776354.74995387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601337600,29/09/2020,10822935997.559105,,,,,,,,,,,254766059.8402946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601424000,30/09/2020,10695886657.842165,,,,,,,,,,,243272698.14708328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601510400,01/10/2020,10529443541.23177,,,,,,,,,,,249330785.14653358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601596800,02/10/2020,10605768838.058247,,,,,,,,,,,242303165.68964684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601683200,03/10/2020,10144885850.302528,,,,,,,,,,,222803771.5138656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601769600,04/10/2020,10307945636.896044,,,,,,,,,,,229534375.65318164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601856000,05/10/2020,10251286369.916985,,,,,,,,,,,223087484.2074575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601942400,06/10/2020,10105651840.598307,,,,,,,,,,,223410784.1035064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602028800,07/10/2020,9790107905.0565,,,,,,,,,,,219592619.52856848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602115200,08/10/2020,9502820539.177452,,,,,,,,,,,206494204.44845188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602201600,09/10/2020,9610529053.15139,,,,2495.3418139221267,,,,,,,204904875.02633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602288000,10/10/2020,10020433592.063421,,,,48671.79240777189,,,,,,,223933642.88106173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602374400,11/10/2020,10325747861.228287,,,,142895.41101674622,,,,,,,232459528.7890064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602460800,12/10/2020,10334605300.219242,,,,653286.6115043259,,,,,,,223911717.46099654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602547200,13/10/2020,10361299307.125792,,,,665985.7969070779,,,,,,,229892063.6628252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602633600,14/10/2020,10429493276.36537,,,,765177.0304369447,,,,,,,231366764.47758797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602720000,15/10/2020,10383765764.9351,,,,825073.5318309937,,,,,,,224416420.4976447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602806400,16/10/2020,10266166493.405195,,,,821379.5049016834,,,,,,,218303946.06978452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602892800,17/10/2020,10056511386.64001,,,,801298.4207264773,,,,,,,218752546.08782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602979200,18/10/2020,10022198986.228949,,,,404150.8775314524,,,,,,,218348130.84191394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603065600,19/10/2020,10088255787.041367,,,,420991.5526372453,,,,,,,217870328.817932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603152000,20/10/2020,10126039555.07266,,,,421641.4054786735,,,,,,,221605895.4924169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603238400,21/10/2020,9931317693.898586,,,,415225.76590155053,,,,,,,214426631.04593337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603324800,22/10/2020,10005573695.42341,,,,415286.7210985184,,,,,,,215059305.5168777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603411200,23/10/2020,10099071635.101538,,,,389834.116744257,,,,,,,213600434.51488236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603497600,24/10/2020,10289459389.103188,,,,339582.07525370485,,,,,,,214458393.07083264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603584000,25/10/2020,10388985879.451586,,,,428316.5561107222,,,,,,,211318797.92193002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603670400,26/10/2020,11755291446.556946,,,,751690.2577768654,,,,,,,209187405.45937172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603756800,27/10/2020,10966913120.214687,,,,1202336.116421723,,,,,,,206290546.3909885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603843200,28/10/2020,10984396269.712246,,,,1199078.8929350819,,,,,,,203481414.87094048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1603929600,29/10/2020,10915811809.532417,,,,823043.4212723776,,,,,,,195209523.15263718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604016000,30/10/2020,10900546518.599413,,,,798922.4077364126,,,,,,,185659858.05903903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604102400,31/10/2020,11491996768.717495,,12873961.84,,793623.2674706004,,,,,,,172993149.3261701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604188800,01/11/2020,11729197895.583214,,12873961.84,,830988.7493852598,,,,,,,178404470.34012538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604275200,02/11/2020,11729823033.483183,,13037818.91,,786866.5464800057,,,,,,,173528691.2560309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604361600,03/11/2020,11705533974.965284,,12770914.78,,809321.5988866797,,,,,,,169058866.67388815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604448000,04/11/2020,11651848227.6899,,13495240.28,,799866.1221638594,,,,,,,166302537.40645307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604534400,05/11/2020,11739373320.776052,,13530441.67,,791152.3933565062,,,,,,,167284131.9266087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604620800,06/11/2020,12028700550.021545,,15338680.13,,526293.1732042885,,,,,,,160417201.28032172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604707200,07/11/2020,12654916211.762726,,15497669.52,,456844.0772741962,,,,,,,171139762.4053393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604793600,08/11/2020,12682486494.295979,,17966420.21,,570878.3201242979,,,,,,,180976400.90575168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604880000,09/11/2020,12851042464.904823,,20704445.79,,613807.9221733043,,,,,,,172971689.2538398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1604966400,10/11/2020,13349667302.851841,,30993611.82,,610219.3422269071,,,,,,,179539292.61240035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605052800,11/11/2020,13418156293.196033,,35145093.58,,614323.5158473792,,,,,,,180348062.12066028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605139200,12/11/2020,13948388621.430439,,36601185.16,,631106.9695894329,,,,,,,198217816.15323746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605225600,13/11/2020,13762427241.898031,,34609970.11,,621321.4775389826,,,,,,,192855344.97323608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1605312000,14/11/2020,14109295893.106342,,43141355.07,,621079.912265362,,,,,,,190110687.79705548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
