Timestamp,Date,Ethereum,Terra,Fantom,BSC,Avalanche,Solana,Tron,Polygon,Cronos,Arbitrum,Waves,Osmosis,Klaytn,DefiChain,Harmony,Kava,Astar,Ronin,Elrond,Heco,Parallel,Aurora,Moonriver,Celo,Optimism,Mixin,Metis,Gnosis,EOS,Theta,Thorchain,Telos,Cardano,Oasis,Fusion,Moonbeam,Bitcoin,Near,RSK,Stacks,OKExChain,NEO,IoTeX,Tezos,Algorand,Secret,Icon,Godwoken,Sifchain,Everscale,Boba,Songbird,Wanchain,KCC,Ontology,Stellar,Velas,Karura,smartBCH,Fuse,Sora,Ultra,VeChain,Kardia,Zilliqa,Shiden,CSC,Energi,Nuls,Callisto,Elastos,ThunderCore,Wax,Nahmii,Genshiro,Ergo,Meter,TomoChain,Syscoin,EnergyWeb,Lamden,Conflux,Ubiq,XDC,Polis,Binance,CosmosHub,Hoo,Polkadot,ZYX,Curio,HPB,GoChain,Kusama,Liquidchain,Palm,Bittorrent,EthereumClassic,zkSync
1638576000,04/12/2021,155141637825.37323,12926313793.39408,4463713502.223845,17875089520.820183,13154887154.693897,14071074006.484262,5922413474.013289,4928382796.795138,1278309802.540039,1853402921.4093266,1523059281.088893,738396192,1019505070.829174,,551144654.035928,674928526.5876987,,1486557555.3546646,417914187.247068,1045301157.7292548,,120292605.74822024,338919052.406129,738754930.099535,330824603.5466623,274211750.66,323100.5716158482,151420598.54771927,131901440.14859019,,270521475.14351344,3060230.5381221366,,,103894211.29317906,,179279710.90450165,105009827.597757,177026334.92875025,,252402594.2895004,118598615.59117572,7553575.946261773,112022040.21637352,93848865.90898551,65704525.97050499,170139681.66,,50426661.41,24715120.750923038,396234337.54774016,44551059.08945904,88026456.19012944,52597793.46975723,65932072.194383994,36059779.72941911,,69333129.35998075,34480474.8896711,3993649.958950245,48006800.3,5693429.295500539,32655747.52104274,32819005.61278632,43280717.749873206,918780.7646965301,,13112162.798842652,19838245,,5913649.389447517,9157141.584437696,,,3187759.554019,,,4773153.317185048,,7375482.1464916635,4476010.825019825,3896016.859217447,1610547.3120115781,,1977721.682781,,7091729.852,311633.44871371094,2084308.3296,392190.46208803414,,145197.99095362678,182592.90628863164,34781.620500000005,,159.82610469638155,,,0
1638662400,05/12/2021,149906106934.95267,14360670584.160587,4078232850.142432,16917769845.3773,12265959274.803513,12593923884.502419,5547401560.291328,4751454404.18591,1228108524.2323062,1807260604.078717,1523059281.088893,666780694,918245043.6763109,,473374042.3314085,608719501.0893738,,1252602368.2372994,1348759985.165868,1062313834.8205509,,115469599.95155081,310736581.16631573,641165758.384787,313421831.60799795,264141561.07,287204.9229268701,153371964.11415675,117534908.06291007,,245043022.5448185,2520224.6362728653,,,105115708.93935353,,163575847.26521352,92081057.07638401,161574224.87616196,,240898503.496877,104428510.76908621,7266537.774619824,104187261.16568051,90076237.10277784,59640655.09405146,147277286.47,,45482681.72,24715120.750923038,356406970.5250735,43933520.9741793,77041207.06067829,49844901.3930777,61037089.95361699,37178199.0996074,,59531674.54193981,30689095.056611948,3638397.215877,45676982.3172719,5532577.434848006,28662338.646113884,31631106.984592516,36518663.592720814,830785.081552898,,10576782.604756802,21523717,,5690136.754929591,8550432.151544126,,,3180233.5971270003,,,3949801.3421459864,,6759497.024906277,4228317.78710046,3270049.658467627,1459451.7550503092,,1807229.071654735,,6399059.7951,289581.2349680845,1854773.5244,403132.66069342004,,131439.19339382692,167766.9592659452,30273.482400000004,,159.1017785685124,,,0
1638748800,06/12/2021,149356291433.98608,12848395608.226519,3869448956.2313623,16554087958.118053,11834308119.270674,12277803458.383476,5362062805.583232,4869842858.421893,1237434561.409412,1848298594.2901335,1523059281.088893,600373713,948832594.7820064,,491229706.612458,602756965.3185369,,1195567650.0026374,1348759985.165868,1050161609.3436291,,115410751.82757348,309262044.02621865,612323913.8556114,298476792.61682016,263287653.42,293895.2967853389,155289630.86269537,110759392.11747089,,230100815.50209707,2665434.587645654,,,111200165.50462702,,164303166.65891644,82860504.0118106,160601692.3122633,,237047446.07353273,100784199.48460542,6637894.410021903,101708133.77370137,92576877.4386867,61811258.33276374,135831609.16,,40896650.02,24715120.750923038,353550290.8669468,46303991.54071367,73812313.22585075,48957377.67689981,58022085.26913001,37741135.9127552,,59668771.50642538,29637645.89958102,3663535.9211279005,46098144.92,5681258.486881432,31054628.677828986,29601599.610893,34432732.652889155,802956.9576683005,,10799428.96379123,19013324,,5166455.256066602,8161289.041133814,,,3163455.9802860003,,,3646468.7361594783,,6285033.3350872,3269523.0386305875,3203177.844940424,1349795.46700908,,1728266.3655967421,,5589773.6436,267055.3493644255,1780209.863,327436.6138525202,,133292.54602124868,173102.8596036949,29609.747099999997,,159.4761999485202,,,0
1638835200,07/12/2021,153813966952.40472,13345816643.29004,3941625210.8525715,16967995292.880726,12161439243.847612,12274100825.473347,5649393158.506693,4986736660.1476145,1305400347.3585796,1904547407.3216577,1523059281.088893,603358361.497324,987599409.8395981,,454488640.7063408,616460351.2312877,,1232548539.7293916,1348312196.850793,1028883423.6259878,,117698292.52432218,304414864.9548551,617480935.8892494,314868350.2570758,271877533.05,286350.1426136435,153832060.99257988,117331271.3205463,,233875599.4250868,2650270.400231719,,,111934305.73537838,,168792446.84670913,84730932.31343548,166292259.33930683,,241424005.31747106,103303140.18038568,6880183.819523124,103835127.53807779,96785988.61645865,56164681.94527826,141420442.39999998,,42171973.94,23963812.96458112,345493678.7770336,46059981.887596965,74899606.1575615,47617954.3255412,62532289.230452985,40000072.590167895,,56480086.05616319,32502217.42669996,3785336.2983,43724013.1066124,5665552.271759546,33498734.056190282,28984316.321132,36719962.11802318,872862.431922025,,10403682.705967126,20157674,,5217216.913733254,5969269.229244115,,,3649530.66055,,,3860305.1687513106,,5976858.819979896,3937200.98248951,3350402.180545409,1551601.495426501,,1555215.200818,,5619269.04,280491.45523689064,1781667.7788,350361.2215612385,,140403.26340446254,176032.75391387212,29063.352500000005,,136.81517631257057,,,0
1638921600,08/12/2021,153893053392.68716,13754247372.57602,3937560018.119284,17157938253.857742,12287766475.040073,12079725442.727386,5809258248.670659,5035212119.740676,1334737401.0992875,1913858200.6677809,1523059281.088893,604093417,1017141775.8233694,,500883797.06855065,611541300.8924974,,1236187730.8985476,1348759985.165868,1020091614.1549017,,120978277.15946132,286960692.66034114,596539761.7053823,313824769.57723457,271043304.2,323203.24522040103,155575453.68421292,116494458.71642168,,229541890.6764682,2674668.7483623344,,,110651325.81485009,,169013640.0428179,86811857.87851,164931840.4481222,,233333731.68646127,102662480.8553067,6631858.640605039,114745320.79429637,92556225.49923396,56127029.11310524,144624990.57999998,,43178520.38,24533839.566016465,334402940.1128427,44762964.360330716,74616875.25902182,47253921.47005885,62283138.99461201,41120472.442180395,,57486113.911520556,35182131.129022524,3859424.274581,44235009.12,6072803.170525,33268547.21664278,27915225.944743,37315470.490516,931872.0493223513,,10915182.03493677,18960714,,4907192.844545151,6259243.230583,,,3351368.11,,,3817082.488315031,,5916465.673359466,3952203.053002192,3217527.390724294,1475422.9467124674,,1240684.37468,,5525537.7212,283288.84851347626,1918941.117,311942.7848449493,,130545.94736222494,174069.7840730305,29708.784,,184.88280014428474,,,0
1639008000,09/12/2021,156451823572.94562,14072892067.737259,4008985989.727519,16799805399.557692,12475581783.219563,12372351508.924929,5865571784.312961,5202667619.318679,1350492505.639243,1986174708.6885302,1520756218.3793588,633308775.42672,1061416212.1944147,,485959715.7878963,626245495.7331467,,1302502483.425717,1348552276.1281526,885079307.1166744,,134317033.31724745,286360965.50903714,662558476.6991041,324225354.859233,278364331.08,346758.19606284326,150148880.6060547,137995209.26205143,,238521573.15501812,116210912.8506648,,,112323004.05234896,,169564332.220318,103268383.37489851,165652717.4882412,,225688526.08455426,105877481.66528982,6448831.804317035,117784255.29180685,95514556.52929892,57256312.415093794,149536245.23000002,,44300155.74,24503060.935824927,304256598.11094564,46470236.95448178,77162107.86922377,47229056.24348289,65391800.909794,45924948.3384164,,59132289.65820034,36859641.13387834,3882405.6254143724,44062587.8663193,6454842.322731,34677332.99862536,29206796.253567,39364552.5797052,885286.0920035176,,11613071.629912693,18955006,,4756910.586832071,6363307.386688008,,,3379582.75,,,4004027.6155760246,,5959521.603919822,3544930.762348797,3690120.110745203,1391809.5474344569,,1252702.5997183472,,5753710.3167,289188.95570461696,1900207.4863,322721.60524503124,,127791.71578641035,191099.27243190902,30793.538999999997,,171.40663337651313,,,0
1639094400,10/12/2021,149845716435.93286,13214900961.255714,3864221881.77639,16240076325.72432,11893584446.165356,11873957258.392963,5705987802.826073,4925423022.541389,1312451559.9497283,1891626086.2345371,1406234093.0937314,580345547.3078641,1029497094.5109015,,483254760.468219,608697298.0806715,,1234065950.2199483,1131881843.1404314,872915024.6705552,,152274439.02137098,276006480.72175765,612502625.0728785,307434953.0502985,268048570.29,301037.9376254436,146821071.07946715,122867633.38918617,,218293218.06791976,108635522.958427,,,107680519.65663055,,163048514.92234755,105891674.73415543,154336166.90158013,,220571264.85550356,77332677.35786629,6875864.988433419,109465784.55931848,89782473.42959043,59881151.58499451,133933017.05000001,54237235.22488181,39685657.83,24699497.383233592,208204695.24367747,46901524.681162834,71665086.45000151,45352534.69624388,60031380.06293601,46653768.4113846,33350495.643636428,57022080.46586931,35121271.00406472,3714830.470728825,42000804.56788834,6160079.10372359,32335380.975310303,27854885.557429492,31899559.128639128,865058.7685529287,,13924307.531575624,18718146,,4493026.8998626685,5977748.29841489,,,3296634.816093,,,3805723.0674504954,,5669131.739041776,3372128.474972641,,1242963.0208031775,,1199934.7424430456,,5240015.603999999,280603.83517307905,1739225.9528,277205.75077777077,,122774.98235052278,172262.7958206118,29866.196300000003,,184.23556715355832,,0,0
1639180800,11/12/2021,145706537925.33286,12646288558.898523,3856235398.05805,15969282264.786104,11411275144.072083,11022104480.50324,5651102167.215784,4802292566.343377,1341771521.228528,1840744223.9146347,1301358995.2720075,574725852.9453449,1013190545.0187521,,478458102.57495034,594365628.7483076,,1206696833.7410872,1113087705.6495802,880187310.4459282,,162161125.3535815,260075982.21644706,581847964.4451982,300679334.0476016,264082344.94,274742.72168051836,146417473.5644364,119141695.05133843,,198944967.71102887,104387375.27463922,,,109558195.35704102,,160747241.34208614,108246846.11782849,153797329.36546272,,209993999.21732506,75201050.99913776,7129045.498484694,105911683.55975284,85748889.06819597,55562889.22816383,128446638.38,52289138.21941796,38277726.27,24880173.713592455,194269967.66259423,43703182.92955359,69603663.29825427,44790433.677082,58491018.779282,48133985.2321269,32714512.594077002,55629466.22247283,35037516.72846208,3543521.917960349,43900319.051113345,5438179.451392415,30328466.85683526,28000219.36297482,30650631.453409992,774815.4732135853,,13520655.251858836,18869740,,4363575.312741877,5813523.378939687,,,2820545.245246,,,3910172.588937985,,5301801.01695101,3123718.1948857275,,1188427.60212477,,1176521.4775857565,,5196634.2112,277519.88887031144,1721693.6294999998,276336.7468701022,,119043.50407023836,167510.56927536885,28620.1734,,180.20676033268663,,0,0
1639267200,12/12/2021,149040653967.37396,12317330871.660608,3939828865.681202,16232180874.54936,11364258973.839907,11193214209.931843,5857710228.01333,4924059014.158486,1440434267.6303017,1890876055.5374835,1335129386.3551939,596982180.521099,1052144491.8395522,,478900617.8319936,595688131.3767459,,1273069501.6993954,1109934013.912056,887325453.753227,,180443876.16010478,265199261.28428817,595496427.1363224,312898729.5635143,267783602.8,283068.24127708894,148121856.90982872,125888742.66615634,,204522612.4631466,104656349.84428659,,,110908302.0850384,,165022230.07201266,121813264.07258701,156297004.40110642,,205024039.7842911,77377121.5914908,6654620.721462639,106793857.32213017,91323595.95109108,50704795.95750106,137682629.12,51631151.83626124,41585829.41,25137578.164801925,194341892.95085678,46340672.22964723,73096490.84532027,46732539.39390363,61231492.05152899,51925104.4492823,32906704.158257585,58383675.095253915,35763528.8823353,3557715.032405298,44694002.07424997,5663175.949334,31897857.757231448,29434764.496894497,31964407.314187422,817807.339048633,,14103403.599483933,18612098,6266916.691143356,4366746.504450714,6040456.510740556,,,2863397.8795020003,,,4042068.903064847,,5467275.497960353,2949007.1699658902,,1178976.289005441,,1192412.2953476994,,5559673.9178,273492.1490978416,1768466.0797,272861.7866589671,,110793.30380207034,168955.73022391342,29838.816,,176.12986956469436,,0,0
1639353600,13/12/2021,150725688064.87927,12745559323.907967,3931528947.350692,16091781675.79789,11493657831.264198,11357042452.33713,5839918488.160582,4999845207.990354,1477918029.6795855,1908170832.0583227,1366376365.8345368,619049123.575388,1025691448.3556744,,486374991.8881416,598315703.03415,,1298656827.394648,1172132711.171862,883282068.1744028,,188552745.31328988,266568006.29737648,608798473.6379303,312800828.29516023,343764691.06,292769.3214529756,153989641.9539445,124049635.14113031,,205057283.49795148,110552099.97039795,,,121154439.66696443,,168559349.04790163,109744906.0162677,158541341.35235634,12688989.335054323,197824220.39211443,77505412.63348813,6495138.182962598,106547676.37533703,91889368.46890777,50067704.00197638,140607389.49,50990901.30687919,42026516.3,25364066.784652196,190307307.34215033,30582363.026747998,72313223.73789601,47406976.81958294,61376967.119656995,58262835.906762496,33910903.80116543,59894326.40219261,35182347.80073881,3600205.2089789095,44483789.1119946,6542141.085032871,32375247.980295908,29440920.55504689,31950195.059875544,828623.5707682697,,13868457.36400302,18622263,6539612.411122694,4748269.285734413,6048130.654159764,,,2879601.0043719998,,,4095163.537644598,,5681387.160693598,2893144.571677278,,1190833.696848617,,1195290.0227512335,,5491075.114800001,273222.30107825884,1821921.5300000003,252759.37110872727,,110793.30380207034,170159.76385789493,30527.972299999998,,178.82485442494502,,0,0
1639440000,14/12/2021,143730310819.32904,11654465149.296892,3655320544.9916377,15688074370.50019,10510545745.567717,10860520115.067844,5548985224.049012,4722872666.0899725,1393723862.6576931,1805482759.315407,1241441138.0435774,559029387.129568,978379858.9370726,,483976569.12169355,570944410.9441803,,1186399927.5066314,1003853884.317406,816130994.1347666,,193645448.04433355,260103721.51850057,563580219.696737,293540585.0743129,313435486.22,238624.88763611467,151800113.05326462,119674358.08391152,,185216523.84373093,109409376.97866458,,,115569364.8397183,,156462910.01614326,99153245.214893,148383950.64830196,12695438.887441775,174639312.41618595,68204562.64634971,5894211.573919701,102697832.42215003,82947586.68451047,55730855.00793686,126810287.44999999,49564275.77544003,37774631.03,24311116.756409563,181961222.86881784,30932133.25090967,67351165.9167599,44542763.41904154,56450022.709032014,56392740.436818,30231927.3306062,53861561.2506512,32641821.725834794,3397396.0110024842,41425708.86,5570734.180735271,28378113.85225424,27273459.436508562,28692182.7801489,743658.6853761662,,12546698.195171064,18621013,5971629.603281541,3920935.9069914464,5593940.823066,,,2812500.4457620005,,,3635140.154331144,,5077282.996909883,2628590.065445552,2737635.465067,1106612.9938949484,,1084788.1237,,5036131.800500001,244312.16495849268,1677400.7096,242755.4047694124,,106569.21686368852,152086.4195704191,27963.500399999997,,205.9628587298755,,0,0
